epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8491,0.80592,2.80054,1.273,0.00263,1,0.39799,0.24505,0.90288,3.40524,1.31643,0.00020004,0.00020004,0.00020004
2,186.18,0.78067,2.16182,1.18533,0.00269,1,0.57078,0.39898,0.60164,3.25818,1.051,0.000412624,0.000412624,0.000412624
3,267.182,0.81609,1.65948,1.22861,0.4416,0.44643,0.47021,0.24759,1.19995,3.24853,2.05149,0.000620917,0.000620917,0.000620917
4,347.566,0.85232,1.32824,1.22255,0.45723,0.50893,0.44825,0.33718,0.70056,2.77788,1.09425,0.00082492,0.00082492,0.00082492
5,428.377,0.86692,1.2386,1.2242,0.62831,0.375,0.2764,0.16485,1.05994,3.08901,1.80345,0.00102463,0.00102463,0.00102463
6,507.965,0.931,1.25778,1.24142,0.41593,0.64286,0.39322,0.27479,0.81925,3.08275,1.18316,0.00122005,0.00122005,0.00122005
7,587.417,0.89943,1.20591,1.26237,0.43063,0.52679,0.57206,0.37201,1.0017,2.73763,1.98546,0.00141118,0.00141118,0.00141118
8,668.4,0.85813,1.06999,1.20127,0.24517,0.73214,0.39959,0.13304,2.42281,4.55063,3.60502,0.00155148,0.00155148,0.00155148
9,747.62,0.90867,1.06647,1.24618,0.59328,0.44193,0.58578,0.27594,1.28941,2.8662,1.91662,0.00153497,0.00153497,0.00153497
10,828.364,0.84763,0.99198,1.21837,0.68631,0.70498,0.78027,0.38551,1.29407,2.76916,2.01336,0.00151847,0.00151847,0.00151847
11,909.276,0.80124,0.99634,1.1878,0.58281,0.67857,0.58733,0.45375,0.8424,2.27004,1.11937,0.00150197,0.00150197,0.00150197
12,988.803,0.80788,0.96376,1.16211,0.54114,0.9375,0.75483,0.6018,0.74183,1.60361,1.20946,0.00148546,0.00148546,0.00148546
13,1067.56,0.81596,0.91492,1.17224,0.44954,0.73214,0.50284,0.4186,0.75585,1.94286,1.16551,0.00146896,0.00146896,0.00146896
14,1146.26,0.81857,0.91167,1.19301,0.66826,0.74107,0.62533,0.54709,0.59827,2.03613,1.03554,0.00145246,0.00145246,0.00145246
15,1228.26,0.77896,0.83463,1.16485,0.67841,0.79982,0.77734,0.63949,0.75214,1.35954,1.24864,0.00143595,0.00143595,0.00143595
16,1306.84,0.83776,0.85459,1.21596,0.8449,0.86283,0.89567,0.64931,1.0315,1.43311,1.49546,0.00141945,0.00141945,0.00141945
17,1390.23,0.78552,0.8411,1.17025,0.79043,0.9375,0.89827,0.79228,0.65545,1.04817,0.93396,0.00140295,0.00140295,0.00140295
18,1471.6,0.78943,0.7945,1.1756,0.76371,0.74107,0.81093,0.58914,0.95639,1.63044,1.17323,0.00138644,0.00138644,0.00138644
19,1551.24,0.72498,0.70967,1.11836,0.79118,0.9375,0.94633,0.79824,0.73647,0.90715,1.02227,0.00136994,0.00136994,0.00136994
20,1631.21,0.67064,0.68474,1.10535,0.88359,0.8125,0.9325,0.82379,0.53058,0.85447,0.8091,0.00135344,0.00135344,0.00135344
21,1712.91,0.72105,0.68975,1.14128,0.92699,1,0.97444,0.79031,0.74576,0.69735,0.95701,0.00133693,0.00133693,0.00133693
22,1796.76,0.68148,0.70258,1.10446,0.89278,0.98282,0.96056,0.80724,0.64947,0.7229,0.93863,0.00132043,0.00132043,0.00132043
23,1879.96,0.69022,0.70064,1.1308,0.76482,0.9375,0.83694,0.71049,0.58239,1.01293,0.9871,0.00130393,0.00130393,0.00130393
24,1963.92,0.72132,0.6892,1.11865,0.8551,0.75432,0.87541,0.7047,0.62312,1.12319,0.90736,0.00128742,0.00128742,0.00128742
25,2044.95,0.67455,0.65545,1.10739,0.86672,0.91899,0.93488,0.74614,0.7276,0.95102,1.04678,0.00127092,0.00127092,0.00127092
26,2125.98,0.66627,0.5976,1.07946,0.82374,0.875,0.88913,0.69812,0.76415,0.84301,0.96931,0.00125442,0.00125442,0.00125442
27,2205.75,0.65674,0.59111,1.08085,0.88953,0.9375,0.95925,0.84237,0.53827,0.76055,0.88822,0.00123791,0.00123791,0.00123791
28,2289.01,0.70039,0.61977,1.10469,0.88792,1,0.995,0.87427,0.69002,0.71237,1.04684,0.00122141,0.00122141,0.00122141
29,2374.23,0.63928,0.60875,1.08303,0.90598,1,0.96056,0.89449,0.46076,0.72143,0.86801,0.00120491,0.00120491,0.00120491
30,2461.99,0.65956,0.56307,1.09278,0.89746,0.90306,0.94375,0.83163,0.51938,0.73286,0.80542,0.0011884,0.0011884,0.0011884
31,2551.91,0.67091,0.59983,1.0974,0.73752,0.9265,0.86929,0.78834,0.46726,0.8551,0.78726,0.0011719,0.0011719,0.0011719
32,2642.64,0.69035,0.58355,1.119,0.88058,0.87899,0.94362,0.84904,0.4751,0.6371,0.77445,0.0011554,0.0011554,0.0011554
33,2726.43,0.62392,0.55169,1.06551,0.813,0.85172,0.84595,0.78706,0.43516,1.0196,0.80472,0.00113889,0.00113889,0.00113889
34,2808.2,0.62564,0.53056,1.06181,0.77473,0.80357,0.84001,0.70191,0.53104,1.16297,0.81279,0.00112239,0.00112239,0.00112239
35,2891.26,0.61587,0.55383,1.07555,0.86197,0.93379,0.92395,0.87599,0.41444,0.7004,0.79158,0.00110589,0.00110589,0.00110589
36,2971.91,0.62333,0.53869,1.05505,0.84848,0.98992,0.96056,0.87598,0.45022,0.65731,0.82648,0.00108938,0.00108938,0.00108938
37,3059.05,0.54123,0.49638,1.03862,0.8083,0.93019,0.9196,0.86279,0.39234,0.70277,0.75585,0.00107288,0.00107288,0.00107288
38,3148.59,0.57746,0.49474,1.04105,0.978,0.80339,0.94627,0.84788,0.53798,0.72299,0.81733,0.00105638,0.00105638,0.00105638
39,3235.1,0.56995,0.46511,1.03743,0.97017,0.9375,0.98833,0.86384,0.532,0.54024,0.79803,0.00103987,0.00103987,0.00103987
40,3313.86,0.57911,0.51128,1.05918,0.82392,0.99506,0.97425,0.89483,0.44907,0.66351,0.77204,0.00102337,0.00102337,0.00102337
41,3393.95,0.60511,0.52134,1.05478,0.88964,0.99385,0.98833,0.89869,0.50076,0.48382,0.81087,0.00100687,0.00100687,0.00100687
42,3472.37,0.61418,0.51627,1.08289,0.9318,0.97085,0.98833,0.90162,0.46614,0.53266,0.80365,0.000990365,0.000990365,0.000990365
43,3554,0.56536,0.50325,1.04876,0.88046,1,0.98833,0.86557,0.52853,0.46281,0.84369,0.000973861,0.000973861,0.000973861
44,3640.07,0.55096,0.48026,1.03205,0.91814,0.8977,0.97864,0.89237,0.41412,0.5588,0.79306,0.000957358,0.000957358,0.000957358
45,3721.73,0.5863,0.4477,1.05354,0.92896,1,0.96722,0.86452,0.53667,0.55559,0.79693,0.000940855,0.000940855,0.000940855
46,3801.07,0.58764,0.4602,1.04224,0.86668,0.99537,0.96722,0.87839,0.53566,0.62048,0.82603,0.000924352,0.000924352,0.000924352
47,3881.06,0.57051,0.48229,1.04061,0.92699,1,0.98833,0.88096,0.62889,0.48649,0.86468,0.000907848,0.000907848,0.000907848
48,3961.16,0.55691,0.45058,1.02899,0.92182,0.94603,0.98111,0.88387,0.5044,0.51826,0.8607,0.000891345,0.000891345,0.000891345
49,4041.34,0.54221,0.42933,1.02669,0.94794,0.9375,0.983,0.92688,0.37556,0.54273,0.75076,0.000874842,0.000874842,0.000874842
50,4121.91,0.54948,0.4369,1.01966,0.90861,0.9375,0.96301,0.86745,0.49988,0.51263,0.80089,0.000858338,0.000858338,0.000858338
51,4203.87,0.49186,0.41677,1.00305,0.90656,0.99213,0.94667,0.85425,0.57427,0.49598,0.79888,0.000841835,0.000841835,0.000841835
52,4284.62,0.49399,0.41254,1.00964,0.89901,0.93997,0.98111,0.90602,0.4085,0.48159,0.77252,0.000825332,0.000825332,0.000825332
53,4366.45,0.44747,0.39722,0.97774,0.95561,0.88469,0.983,0.90784,0.42381,0.55,0.79527,0.000808828,0.000808828,0.000808828
54,4445.72,0.51565,0.40987,1.02293,0.92222,0.9375,0.983,0.90187,0.48952,0.56564,0.87553,0.000792325,0.000792325,0.000792325
55,4525.91,0.4789,0.38017,1.00406,0.92648,0.93269,0.97958,0.89553,0.50394,0.6245,0.8706,0.000775822,0.000775822,0.000775822
56,4607.05,0.50148,0.39442,1.00482,0.87907,0.97438,0.97958,0.92904,0.39235,0.53452,0.73529,0.000759318,0.000759318,0.000759318
57,4690.26,0.47922,0.39509,1.01004,0.93466,0.96456,0.98111,0.93398,0.37861,0.52202,0.72251,0.000742815,0.000742815,0.000742815
58,4771.03,0.4461,0.36773,0.98994,0.91589,0.94101,0.98111,0.94567,0.39188,0.52195,0.72612,0.000726312,0.000726312,0.000726312
59,4850.35,0.48195,0.39609,0.99353,0.92895,1,0.98833,0.93512,0.38569,0.42351,0.72284,0.000709809,0.000709809,0.000709809
60,4930.31,0.46899,0.36102,0.9855,0.86474,0.98227,0.96143,0.91155,0.38986,0.58487,0.73534,0.000693305,0.000693305,0.000693305
61,5010.45,0.45775,0.38179,0.98549,0.83535,0.91072,0.933,0.89693,0.37112,0.65933,0.74391,0.000676802,0.000676802,0.000676802
62,5090.29,0.4663,0.35955,1.00258,0.9021,0.95311,0.95333,0.88406,0.43604,0.47672,0.7949,0.000660299,0.000660299,0.000660299
63,5170.35,0.47366,0.35783,0.98735,0.97756,0.98423,0.995,0.91956,0.39785,0.39074,0.75692,0.000643795,0.000643795,0.000643795
64,5250.6,0.43009,0.36246,0.95385,0.91406,1,0.995,0.935,0.43213,0.39109,0.77928,0.000627292,0.000627292,0.000627292
65,5330.32,0.45914,0.3667,1.00535,0.93225,1,0.995,0.92418,0.42872,0.37065,0.73876,0.000610789,0.000610789,0.000610789
66,5410.42,0.4501,0.35304,0.98,0.93701,1,0.98833,0.94804,0.35054,0.3641,0.71324,0.000594286,0.000594286,0.000594286
67,5492.9,0.42302,0.33086,0.96861,0.93288,1,0.98833,0.91996,0.39019,0.37628,0.71828,0.000577782,0.000577782,0.000577782
68,5575.15,0.41274,0.32375,0.95985,0.91998,1,0.98833,0.94927,0.40808,0.37505,0.7334,0.000561279,0.000561279,0.000561279
69,5655.9,0.44445,0.34566,0.97953,0.9033,0.97745,0.98833,0.94433,0.41182,0.44839,0.74807,0.000544776,0.000544776,0.000544776
70,5737.25,0.43318,0.33938,0.96943,0.92428,0.9375,0.97487,0.92932,0.38501,0.42837,0.7606,0.000528272,0.000528272,0.000528272
71,5819.69,0.437,0.3347,0.99553,0.90869,0.93686,0.983,0.93454,0.38872,0.42288,0.76344,0.000511769,0.000511769,0.000511769
72,5900.83,0.45225,0.33806,0.98487,0.87816,0.99593,0.97487,0.88769,0.46983,0.50057,0.75511,0.000495266,0.000495266,0.000495266
73,5987.01,0.44588,0.34926,0.98939,0.87771,0.99575,0.983,0.9456,0.33626,0.47695,0.72477,0.000478762,0.000478762,0.000478762
74,6068.85,0.41496,0.32027,0.96171,1,0.91489,0.995,0.9061,0.48028,0.39553,0.72915,0.000462259,0.000462259,0.000462259
75,6149.73,0.45875,0.33332,0.97686,0.9836,0.96881,0.995,0.91765,0.44223,0.3495,0.7191,0.000445756,0.000445756,0.000445756
76,6230.21,0.41802,0.33477,0.99063,0.92821,1,0.995,0.94892,0.35982,0.33096,0.71373,0.000429253,0.000429253,0.000429253
77,6311.07,0.38784,0.31293,0.95462,0.96715,0.98529,0.995,0.93964,0.40442,0.35605,0.72658,0.000412749,0.000412749,0.000412749
78,6388.1,0.37689,0.30039,0.95223,0.92985,1,0.98833,0.96278,0.3149,0.39188,0.70136,0.000396246,0.000396246,0.000396246
79,6465.98,0.37833,0.30302,0.9324,0.89357,1,0.98833,0.95749,0.3012,0.38218,0.67489,0.000379743,0.000379743,0.000379743
80,6544.34,0.38612,0.30456,0.93806,0.88966,1,0.98111,0.94279,0.36115,0.38626,0.67571,0.000363239,0.000363239,0.000363239
81,6623.14,0.38439,0.30843,0.95266,0.88468,0.99848,0.98833,0.94451,0.39622,0.41104,0.68915,0.000346736,0.000346736,0.000346736
82,6701.19,0.36907,0.30962,0.93509,0.88589,0.99904,0.98833,0.95496,0.31179,0.39927,0.67042,0.000330233,0.000330233,0.000330233
83,6780.01,0.40456,0.31985,0.96802,0.92586,1,0.98111,0.94339,0.33585,0.37519,0.67364,0.000313729,0.000313729,0.000313729
