epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12028,0.75452,0.46817,1.06044,0.97297,1,0.995,0.89793,0.48634,0.34928,0.92116,0.000973861,0.000973861,0.000973861
44,12307.7,0.7116,0.45535,1.04119,0.9796,0.99907,0.995,0.90968,0.41999,0.3193,0.89313,0.000957358,0.000957358,0.000957358
45,12588.9,0.7185,0.45741,1.04513,0.97495,0.96893,0.995,0.9273,0.40979,0.51373,0.8619,0.000940855,0.000940855,0.000940855
46,12868.7,0.70484,0.46202,1.02219,0.99358,1,0.995,0.94266,0.38018,0.30124,0.84237,0.000924352,0.000924352,0.000924352
47,13149.5,0.68267,0.4327,0.99261,0.96878,0.9984,0.99346,0.91003,0.42913,0.30819,0.85789,0.000907848,0.000907848,0.000907848
48,13426.2,0.71719,0.44792,1.04231,0.97764,1,0.995,0.91189,0.4579,0.31881,0.85533,0.000891345,0.000891345,0.000891345
49,13700.8,0.72731,0.48036,1.04137,0.9779,1,0.995,0.92926,0.43474,0.31808,0.85676,0.000874842,0.000874842,0.000874842
50,13980.1,0.6939,0.43707,1.02113,0.9968,1,0.995,0.939,0.39201,0.2724,0.85495,0.000858338,0.000858338,0.000858338
51,14257.4,0.69804,0.43888,1.03189,0.99615,1,0.995,0.92073,0.41397,0.28241,0.85344,0.000841835,0.000841835,0.000841835
52,14529.5,0.68637,0.43085,1.02601,0.99709,1,0.995,0.932,0.39422,0.26034,0.84661,0.000825332,0.000825332,0.000825332
53,14800,0.68709,0.43252,1.01821,0.99383,1,0.995,0.90529,0.44079,0.2844,0.86285,0.000808828,0.000808828,0.000808828
54,15067.6,0.67859,0.42415,1.01169,0.9921,0.9991,0.995,0.91955,0.39964,0.32194,0.85044,0.000792325,0.000792325,0.000792325
55,15339.6,0.64201,0.4125,1.00258,0.98534,1,0.995,0.95281,0.34749,0.2663,0.83827,0.000775822,0.000775822,0.000775822
56,15611.7,0.63231,0.41255,0.99858,0.97517,0.99385,0.995,0.92667,0.43645,0.3414,0.85693,0.000759318,0.000759318,0.000759318
57,15880.1,0.66087,0.4133,1.00491,0.99728,1,0.995,0.937,0.42879,0.25995,0.84825,0.000742815,0.000742815,0.000742815
58,16147.3,0.63205,0.39746,0.98631,0.99724,1,0.995,0.94069,0.3449,0.22396,0.82988,0.000726312,0.000726312,0.000726312
59,16415,0.6202,0.3946,0.98935,0.98897,0.9993,0.995,0.93391,0.38184,0.275,0.83777,0.000709809,0.000709809,0.000709809
60,16684.8,0.63004,0.40642,0.98738,0.98152,0.9991,0.995,0.90827,0.41461,0.29472,0.85105,0.000693305,0.000693305,0.000693305
61,17014.8,0.63274,0.41106,0.99997,0.99648,1,0.995,0.9004,0.40489,0.26914,0.85838,0.000676802,0.000676802,0.000676802
62,17375.3,0.63718,0.39353,0.99226,0.99556,1,0.995,0.93713,0.3457,0.23657,0.83248,0.000660299,0.000660299,0.000660299
63,17751.6,0.63398,0.38341,0.99247,0.99707,1,0.995,0.93925,0.3732,0.23566,0.83962,0.000643795,0.000643795,0.000643795
64,18060.2,0.63361,0.38597,0.9941,0.99486,1,0.995,0.91657,0.37739,0.24243,0.83601,0.000627292,0.000627292,0.000627292
65,18377.1,0.63068,0.38393,0.99132,0.99595,1,0.995,0.93042,0.41043,0.24068,0.8553,0.000610789,0.000610789,0.000610789
66,18690.2,0.57286,0.38561,0.97968,0.99227,1,0.995,0.95085,0.37039,0.24739,0.83804,0.000594286,0.000594286,0.000594286
67,18987.4,0.567,0.3809,0.97728,0.99423,1,0.995,0.94001,0.3522,0.23415,0.83543,0.000577782,0.000577782,0.000577782
68,19284.6,0.58,0.38364,0.97621,0.99522,1,0.995,0.92877,0.35979,0.23151,0.84086,0.000561279,0.000561279,0.000561279
69,19578.4,0.57622,0.36151,0.9674,0.99822,0.98146,0.995,0.92669,0.39503,0.2649,0.8472,0.000544776,0.000544776,0.000544776
70,19859.8,0.56762,0.35918,0.96903,0.99622,0.98147,0.995,0.94521,0.34807,0.27464,0.83544,0.000528272,0.000528272,0.000528272
71,20139.2,0.57234,0.36029,0.9805,0.98524,0.99822,0.995,0.91534,0.40503,0.2724,0.8493,0.000511769,0.000511769,0.000511769
72,20415.4,0.54259,0.36335,0.96157,0.99659,1,0.995,0.91825,0.45146,0.25733,0.86065,0.000495266,0.000495266,0.000495266
73,20698.7,0.55706,0.3426,0.96913,0.99595,1,0.995,0.93169,0.38065,0.24205,0.83804,0.000478762,0.000478762,0.000478762
74,20979.8,0.55244,0.34793,0.96511,0.99537,1,0.995,0.94702,0.35523,0.21823,0.83325,0.000462259,0.000462259,0.000462259
75,21259.7,0.55423,0.34614,0.96147,0.99471,1,0.995,0.95818,0.32617,0.21439,0.8266,0.000445756,0.000445756,0.000445756
76,21540.3,0.53021,0.34226,0.95576,0.99659,1,0.995,0.95651,0.34037,0.22959,0.82843,0.000429253,0.000429253,0.000429253
77,21842.9,0.51913,0.32302,0.95113,0.97523,0.9957,0.995,0.95607,0.33567,0.29479,0.83175,0.000412749,0.000412749,0.000412749
78,305.756,0.54592,0.38201,0.9608,0.99087,1,0.995,0.94566,0.3251,0.24275,0.8281,0.000396246,0.000396246,0.000396246
79,598.981,0.5154,0.32804,0.95338,0.99433,1,0.995,0.95352,0.33288,0.22156,0.82574,0.000379743,0.000379743,0.000379743
80,893.74,0.51855,0.33394,0.95479,0.98829,1,0.995,0.95504,0.36129,0.25469,0.83269,0.000363239,0.000363239,0.000363239
81,1175.11,0.51868,0.33461,0.94941,0.99711,1,0.995,0.94207,0.33085,0.20595,0.82156,0.000346736,0.000346736,0.000346736
82,1452.3,0.49758,0.32962,0.94734,0.99153,1,0.995,0.94197,0.37424,0.24176,0.84047,0.000330233,0.000330233,0.000330233
83,1730.66,0.49064,0.3124,0.9428,0.98147,0.99838,0.995,0.94663,0.34702,0.22744,0.83026,0.000313729,0.000313729,0.000313729
84,2008.73,0.48412,0.30897,0.9494,0.99714,1,0.995,0.94769,0.36697,0.22385,0.83328,0.000297226,0.000297226,0.000297226
85,2291.21,0.48206,0.31568,0.95385,0.99684,1,0.995,0.94785,0.35083,0.20799,0.83314,0.000280723,0.000280723,0.000280723
86,2572.9,0.49236,0.31127,0.94299,0.98887,0.99879,0.995,0.95205,0.34746,0.22758,0.82862,0.00026422,0.00026422,0.00026422
87,2862.58,0.49949,0.31498,0.95287,0.9926,1,0.995,0.9541,0.33126,0.22472,0.82582,0.000247716,0.000247716,0.000247716
88,3146.52,0.48651,0.30939,0.94272,0.99614,1,0.995,0.9609,0.34585,0.20134,0.82683,0.000231213,0.000231213,0.000231213
89,3428.68,0.47779,0.3134,0.93026,0.99485,1,0.995,0.965,0.31858,0.19702,0.8231,0.00021471,0.00021471,0.00021471
90,3727.15,0.47761,0.29891,0.94387,0.99539,1,0.995,0.94458,0.33484,0.19659,0.82708,0.000198206,0.000198206,0.000198206
91,4022.16,0.38007,0.26966,0.88656,0.99536,1,0.995,0.95149,0.33794,0.20733,0.82527,0.000181703,0.000181703,0.000181703
92,4303.02,0.34784,0.23574,0.86835,0.99415,1,0.995,0.95267,0.34867,0.19644,0.82781,0.0001652,0.0001652,0.0001652
93,4580.71,0.34536,0.22703,0.8643,0.99217,1,0.995,0.94735,0.33325,0.19555,0.82595,0.000148696,0.000148696,0.000148696
94,4866.19,0.35698,0.22877,0.84989,0.98665,0.98324,0.995,0.96156,0.30807,0.21484,0.82314,0.000132193,0.000132193,0.000132193
95,5148.02,0.33571,0.22242,0.86998,0.98944,0.9998,0.995,0.96349,0.31833,0.19981,0.82072,0.00011569,0.00011569,0.00011569
96,5429.03,0.34402,0.22121,0.87187,0.99124,1,0.995,0.96953,0.31419,0.20668,0.82176,9.91865e-05,9.91865e-05,9.91865e-05
97,5714.02,0.32294,0.21021,0.85137,0.99293,1,0.995,0.95248,0.29954,0.18972,0.82095,8.26832e-05,8.26832e-05,8.26832e-05
98,5992.69,0.31619,0.21039,0.87537,0.99367,1,0.995,0.95229,0.31518,0.18639,0.82294,6.61799e-05,6.61799e-05,6.61799e-05
99,6273.57,0.29568,0.20017,0.83983,0.99341,1,0.995,0.95799,0.29925,0.18218,0.81978,4.96766e-05,4.96766e-05,4.96766e-05
100,6553.42,0.30831,0.20272,0.86206,0.99211,1,0.995,0.96341,0.31144,0.18792,0.82287,3.31733e-05,3.31733e-05,3.31733e-05
